x y sim_mag det_mag det_magerr snr sim_flux sim_psf_flux sim_zpt det_flux det_fluxerr det_zpt image
4369.987 4357.021 23.966 22.216 4.421 0.2457 5.019 5.019 25.717 25.14 102.34 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4393.988 4477.022 20.083 19.051 0.239 4.5427 179.369 179.369 25.717 464.08 102.16 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4465.995 5536.032 21.347 21.258 1.702 0.6382 55.972 55.972 25.717 60.79 95.25 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4514.987 4429.021 22.687 24.471 32.128 0.0338 16.301 16.301 25.717 3.15 93.19 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4514.988 4573.022 19.151 20.562 0.991 1.0958 422.903 422.903 25.717 115.38 105.29 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4538.993 5296.03 20.735 21.954 3.497 0.3105 98.361 98.361 25.717 32.02 103.11 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4538.994 5344.03 20.055 22.419 5.087 0.2135 184.025 184.025 25.717 20.85 97.67 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4586.989 4742.024 18.839 18.959 0.205 5.2916 563.694 563.694 25.717 504.92 95.42 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4586.995 5609.033 21.365 23.824 20.311 0.0535 55.069 55.069 25.717 5.72 106.98 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4610.987 4501.022 18.957 19.518 0.404 2.6899 505.673 505.673 25.717 301.65 112.14 25.7171 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230525_2535279_2381.052_fake014_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
