x y sim_mag det_mag det_magerr snr sim_flux sim_psf_flux sim_zpt det_flux det_fluxerr det_zpt image
1266.065 2218.548 22.261 nan -0.109 -9.93 331.016 331.016 28.56 -1208.98 121.75 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1274.895 2223.034 23.313 nan -0.283 -3.8384 125.561 125.561 28.56 -487.17 126.92 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1320.116 2214.105 22.338 nan -0.618 -1.7583 308.369 308.369 28.56 -232.48 132.22 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1312.557 2231.075 23.133 nan -7.781 -0.1396 148.195 148.195 28.56 -17.06 122.23 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1325.374 2221.898 22.304 22.801 0.693 1.5668 318.007 318.007 28.56 201.29 128.47 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1283.516 2228.756 18.224 18.376 0.011 94.715 13635.257 13635.257 28.56 11849.79 125.11 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1311.91 2207.754 19.435 19.468 0.034 31.8287 4465.984 4465.984 28.56 4333.48 136.15 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1292.526 2233.127 20.245 22.226 0.405 2.6819 2118.594 2118.594 28.56 341.86 127.47 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1257.922 2213.079 18.244 18.511 0.015 72.9791 13376.842 13376.842 28.56 10465.2 143.4 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1302.274 2233.035 20.725 21.815 0.283 3.8405 1361.539 1361.539 28.56 498.76 129.87 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1258.854 2175.307 23.642 22.415 0.489 2.2194 92.748 92.748 28.56 287.06 129.34 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1240.862 2175.295 18.925 19.062 0.019 57.9785 7144.661 7144.661 28.56 6296.46 108.6 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1249.878 2171.297 23.187 nan -0.789 -1.3756 141.041 141.041 28.56 -164.94 119.9 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake078_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1266.065 2218.548 20.991 21.809 0.264 4.12 1065.417 1065.417 28.56 501.61 121.75 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake034_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1274.895 2223.034 20.944 21.398 0.188 5.7743 1112.798 1112.798 28.56 732.87 126.92 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake034_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1320.116 2214.105 23.902 nan -0.155 -6.9922 72.972 72.972 28.56 -924.51 132.22 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake034_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1312.557 2231.075 22.506 23.969 1.934 0.5616 264.087 264.087 28.56 68.65 122.23 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake034_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1325.374 2221.898 18.027 18.146 0.01 114.0173 16335.785 16335.785 28.56 14647.8 128.47 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake034_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1283.516 2228.756 22.76 24.933 4.813 0.2256 209.028 209.028 28.56 28.23 125.11 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake034_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1311.91 2207.754 21.203 21.056 0.147 7.3706 876.626 876.626 28.56 1003.51 136.15 28.5602 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200125_2203904_2199.069_fake034_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
