x y sim_mag det_mag det_magerr snr sim_flux sim_psf_flux sim_zpt det_flux det_fluxerr det_zpt image
1266.065 2218.548 21.965 21.824 0.303 3.5805 414.697 414.697 28.509 472.12 131.86 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1274.895 2223.034 19.885 20.379 0.076 14.2343 2815.124 2815.124 28.509 1785.55 125.44 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1320.116 2214.105 22.076 nan -0.09 -12.0284 374.292 374.292 28.509 -1531.45 127.32 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1312.557 2231.075 21.687 21.727 0.267 4.0739 535.635 535.635 28.509 516.0 126.66 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1325.374 2221.898 18.293 18.423 0.013 85.4181 12203.044 12203.044 28.509 10827.6 126.76 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1247.485 2207.668 20.017 20.048 0.06 18.1458 2493.093 2493.093 28.509 2423.91 133.58 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1292.0 2195.515 18.931 19.32 0.029 37.5591 6779.368 6779.368 28.509 4736.58 126.11 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1282.432 2192.17 18.269 18.534 0.014 77.6629 12468.682 12468.682 28.509 9774.65 125.86 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1283.516 2228.756 19.075 19.251 0.026 41.0426 5936.132 5936.132 28.509 5047.01 122.97 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1311.91 2207.754 18.811 18.993 0.02 53.3804 7570.413 7570.413 28.509 6402.44 119.94 28.5089 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200421_2221154_2199.069_fake026_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
