x y sim_mag det_mag det_magerr snr sim_flux sim_psf_flux sim_zpt det_flux det_fluxerr det_zpt image
1266.065 2218.548 21.515 22.009 0.503 2.1571 571.237 571.237 28.407 362.35 167.98 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1274.895 2223.034 20.181 20.487 0.122 8.8699 1951.802 1951.802 28.407 1472.22 165.98 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1312.557 2231.075 21.407 21.497 0.312 3.4802 630.554 630.554 28.407 580.47 166.79 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1247.485 2207.668 22.949 nan -0.373 -2.9146 152.395 152.395 28.407 -501.64 172.11 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1282.432 2192.17 23.049 nan -0.273 -3.9722 139.03 139.03 28.407 -666.9 167.89 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1283.516 2228.756 23.82 nan -1.284 -0.8459 68.312 68.312 28.407 -140.0 165.5 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1292.526 2233.127 23.967 21.563 0.332 3.2704 59.694 59.694 28.407 546.55 167.12 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1257.922 2213.079 23.144 nan -0.401 -2.707 127.413 127.413 28.407 -459.22 169.64 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1302.274 2233.035 23.627 nan -0.687 -1.5801 81.595 81.595 28.407 -259.95 164.51 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1270.914 2192.494 18.028 18.143 0.015 70.3105 14166.906 14166.906 28.407 12752.91 181.38 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1258.854 2193.285 20.883 nan -0.231 -4.701 1021.805 1021.805 28.407 -890.61 189.45 28.4066 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200321_2211774_2199.069_fake029_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
