x y sim_mag det_mag det_magerr snr sim_flux sim_psf_flux sim_zpt det_flux det_fluxerr det_zpt image
1266.065 2218.548 20.282 20.8 0.318 3.4147 1487.043 1487.043 28.213 922.8 270.24 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1274.895 2223.034 18.997 18.842 0.053 20.3501 4856.513 4856.513 28.213 5599.73 275.17 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1320.116 2214.105 21.025 nan -0.693 -1.5664 750.048 750.048 28.213 -412.26 263.19 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1325.374 2221.898 20.916 nan -0.427 -2.5458 829.312 829.312 28.213 -672.92 264.33 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1247.485 2207.668 22.428 21.585 0.657 1.654 206.078 206.078 28.213 448.08 270.91 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1292.0 2195.515 18.943 18.941 0.056 19.4278 5105.025 5105.025 28.213 5113.01 263.18 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1282.432 2192.17 20.093 20.088 0.164 6.6153 1769.293 1769.293 28.213 1777.92 268.76 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1283.516 2228.756 21.058 20.766 0.31 3.5005 727.656 727.656 28.213 952.25 272.03 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1311.91 2207.754 23.691 nan -0.304 -3.5715 64.39 64.39 28.213 -941.71 263.67 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1292.526 2233.127 21.131 nan -0.477 -2.2745 680.261 680.261 28.213 -629.9 276.94 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1302.358 2200.604 20.754 20.333 0.201 5.4027 962.98 962.98 28.213 1418.43 262.54 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1257.922 2213.079 23.939 nan -0.357 -3.0378 51.238 51.238 28.213 -824.52 271.42 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1270.914 2192.494 23.783 nan -0.289 -3.755 59.169 59.169 28.213 -1058.2 281.81 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1258.854 2193.285 21.706 21.686 0.778 1.3962 400.515 400.515 28.213 408.02 292.24 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1258.854 2175.307 20.415 21.039 0.371 2.9303 1315.309 1315.309 28.213 740.89 252.84 28.2129 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200430_2225322_2199.069_fake039_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
