x y sim_mag det_mag det_magerr snr sim_flux sim_psf_flux sim_zpt det_flux det_fluxerr det_zpt image
4369.987 4357.021 20.91 20.916 2.158 0.5033 61.941 61.941 25.39 61.61 122.41 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4393.988 4477.022 23.361 20.196 1.245 0.8719 6.482 6.482 25.39 119.57 137.13 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4465.995 5536.032 20.322 nan -11.104 -0.0978 106.534 106.534 25.39 -11.86 121.26 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4514.987 4429.021 20.545 21.64 4.476 0.2426 86.702 86.702 25.39 31.62 130.32 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4514.988 4573.022 22.628 nan -1.255 -0.865 12.727 12.727 25.39 -113.32 131.0 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4538.993 5296.03 23.661 nan -2.003 -0.5422 4.919 4.919 25.39 -69.75 128.64 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4538.994 5344.03 18.016 18.244 0.195 5.5705 890.534 890.534 25.39 721.94 129.6 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4586.989 4742.024 19.194 21.237 3.171 0.3425 300.945 300.945 25.39 45.86 133.91 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4610.987 4501.022 20.383 19.72 0.845 1.2848 100.697 100.697 25.39 185.41 144.31 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4610.991 5055.027 20.008 nan -1.73 -0.6277 142.236 142.236 25.39 -83.54 133.09 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4659.991 5055.027 22.982 19.901 0.952 1.1405 9.193 9.193 25.39 156.95 137.62 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4659.992 5103.027 21.322 19.637 0.686 1.5838 42.394 42.394 25.39 200.06 126.32 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4779.995 5657.033 19.912 20.427 1.512 0.7183 155.399 155.399 25.39 96.66 134.57 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4804.99 4910.025 23.34 20.146 1.21 0.8979 6.61 6.61 25.39 125.27 139.52 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4828.992 5247.029 21.954 20.955 2.251 0.4825 23.68 23.68 25.39 59.46 123.24 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4852.989 4718.023 18.329 18.609 0.264 4.1168 667.308 667.308 25.39 515.63 125.25 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4876.989 4862.025 22.547 nan -0.656 -1.6559 13.715 13.715 25.39 -213.79 129.11 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4900.987 4453.021 21.703 19.744 0.724 1.4991 29.852 29.852 25.39 181.27 120.92 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4900.988 4718.023 22.975 20.935 2.607 0.4165 9.25 9.25 25.39 60.57 145.42 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4924.986 4381.02 19.562 nan -13.812 -0.0786 214.436 214.436 25.39 -10.19 129.6 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4948.988 4670.023 20.538 19.847 0.885 1.227 87.287 87.287 25.39 164.96 134.44 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4973.991 5031.026 21.788 nan -25.238 -0.043 27.588 27.588 25.39 -5.52 128.28 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4997.998 6042.036 23.245 nan -0.76 -1.4292 7.21 7.21 25.39 -175.29 122.65 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5021.986 4381.02 22.477 nan -1.919 -0.5659 14.627 14.627 25.39 -75.66 133.69 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5021.995 5657.032 19.299 20.244 1.125 0.9654 273.154 273.154 25.39 114.4 118.5 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5021.998 6114.037 20.95 nan -19.84 -0.0547 59.71 59.71 25.39 -7.04 128.61 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5045.995 5729.033 20.832 21.463 3.958 0.2744 66.557 66.557 25.39 37.22 135.66 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5117.996 5849.034 21.742 21.84 5.588 0.1943 28.788 28.788 25.39 26.3 135.33 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5142.986 4381.02 19.787 nan -3.964 -0.2739 174.279 174.279 25.39 -36.95 134.88 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5142.998 6114.036 19.527 nan -1.29 -0.8417 221.498 221.498 25.39 -109.82 130.47 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5238.996 5873.034 23.699 25.703 192.613 0.0056 4.749 4.749 25.39 0.75 133.02 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5335.991 5247.028 22.27 nan -9.651 -0.1125 17.707 17.707 25.39 -15.56 138.28 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5359.986 4477.021 22.365 nan -3.144 -0.3454 16.225 16.225 25.39 -43.63 126.32 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5431.988 4814.023 20.966 19.896 0.926 1.1728 58.855 58.855 25.39 157.71 134.47 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5504.998 6234.037 20.765 20.476 1.619 0.6706 70.838 70.838 25.39 92.38 137.75 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5649.992 5464.029 23.966 21.174 2.996 0.3625 3.712 3.712 25.39 48.57 133.99 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5890.985 4429.019 23.406 nan -1.2 -0.905 6.221 6.221 25.39 -121.9 134.7 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
6035.997 6162.035 21.016 nan -0.362 -2.998 56.204 56.204 25.39 -399.13 133.13 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
6083.984 4453.019 18.209 18.305 0.202 5.371 745.337 745.337 25.39 682.38 127.05 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
6083.997 6234.036 22.038 21.258 3.535 0.3072 21.918 21.918 25.39 44.99 146.45 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake020_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4369.987 4357.021 23.416 21.086 2.524 0.4303 6.16 6.16 25.39 52.67 122.41 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4393.988 4477.022 20.175 19.735 0.814 1.3337 121.918 121.918 25.39 182.89 137.13 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4465.995 5536.032 18.304 18.633 0.261 4.1604 683.389 683.389 25.39 504.49 121.26 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4514.987 4429.021 21.166 nan -26.112 -0.0416 48.966 48.966 25.39 -5.42 130.32 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4514.988 4573.022 21.899 nan -1.255 -0.865 24.928 24.928 25.39 -113.32 131.0 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4538.993 5296.03 18.682 19.079 0.418 2.6009 482.193 482.193 25.39 334.58 128.64 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4538.994 5344.03 20.377 21.694 4.677 0.2322 101.201 101.201 25.39 30.09 129.6 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4586.989 4742.024 21.801 nan -0.79 -1.3741 27.267 27.267 25.39 -184.0 133.91 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4586.995 5609.033 20.646 21.588 3.752 0.2894 79.024 79.024 25.39 33.18 114.64 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4610.987 4501.022 22.182 20.033 1.127 0.9632 19.197 19.197 25.39 139.0 144.31 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4610.991 5055.027 23.393 nan -0.846 -1.2839 6.295 6.295 25.39 -170.87 133.09 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4659.991 5055.027 18.783 18.626 0.294 3.6894 439.351 439.351 25.39 507.74 137.62 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4659.992 5103.027 20.063 19.269 0.488 2.2239 135.226 135.226 25.39 280.92 126.32 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4804.99 4910.025 19.443 19.215 0.513 2.1163 239.179 239.179 25.39 295.27 139.52 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4828.992 5247.029 21.52 20.955 2.251 0.4825 35.339 35.339 25.39 59.46 123.24 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4852.989 4718.023 21.403 nan -3.054 -0.3556 39.362 39.362 25.39 -44.54 125.25 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4876.989 4862.025 19.648 nan -2.026 -0.536 198.099 198.099 25.39 -69.2 129.11 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4900.987 4453.021 18.937 18.704 0.278 3.9069 381.296 381.296 25.39 472.42 120.92 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4900.988 4718.023 18.203 18.282 0.227 4.7923 749.508 749.508 25.39 696.89 145.42 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4924.986 4381.02 18.766 19.658 0.717 1.515 446.224 446.224 25.39 196.35 129.6 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4948.988 4670.023 23.931 20.094 1.112 0.977 3.835 3.835 25.39 131.35 134.44 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4973.991 5031.026 19.915 20.446 1.466 0.7408 154.968 154.968 25.39 95.03 128.28 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4997.998 6042.036 22.264 nan -0.76 -1.4292 17.8 17.8 25.39 -175.29 122.65 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5021.986 4381.02 22.827 nan -1.919 -0.5659 10.601 10.601 25.39 -75.66 133.69 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5021.995 5657.032 23.36 nan -1.377 -0.7887 6.487 6.487 25.39 -93.46 118.5 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5021.998 6114.037 23.277 nan -10.034 -0.1082 7.006 7.006 25.39 -13.92 128.61 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5045.995 5729.033 18.571 18.713 0.314 3.4548 534.44 534.44 25.39 468.68 135.66 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5117.996 5849.034 19.209 19.37 0.574 1.8918 296.761 296.761 25.39 256.02 135.33 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5142.986 4381.02 22.948 nan -0.982 -1.1062 9.485 9.485 25.39 -149.21 134.88 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5142.998 6114.036 22.855 nan -0.53 -2.0474 10.327 10.327 25.39 -267.12 130.47 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5238.996 5873.034 20.631 21.611 4.448 0.2442 80.13 80.13 25.39 32.48 133.02 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5335.991 5247.028 19.361 19.865 0.926 1.1731 257.944 257.944 25.39 162.21 138.28 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5359.986 4477.021 23.66 nan -3.144 -0.3454 4.923 4.923 25.39 -43.63 126.32 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5431.988 4814.023 21.935 19.958 0.981 1.1075 24.114 24.114 25.39 148.92 134.47 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5504.998 6234.037 19.229 19.243 0.52 2.0876 291.513 291.513 25.39 287.57 137.75 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5649.992 5464.029 23.191 21.174 2.996 0.3625 7.581 7.581 25.39 48.57 133.99 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
5890.985 4429.019 22.605 nan -1.2 -0.905 13.011 13.011 25.39 -121.9 134.7 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
6035.997 6162.035 21.915 nan -0.362 -2.998 24.546 24.546 25.39 -399.13 133.13 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
6083.984 4453.019 20.285 20.267 1.231 0.882 110.158 110.158 25.39 112.06 127.05 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
6083.997 6234.036 19.944 20.067 1.181 0.9199 150.896 150.896 25.39 134.72 146.45 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake027_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4369.987 4357.021 21.054 21.086 2.524 0.4303 54.282 54.282 25.39 52.67 122.41 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake031_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4393.988 4477.022 23.726 20.196 1.245 0.8719 4.631 4.631 25.39 119.57 137.13 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake031_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
4465.995 5536.032 23.492 nan -2.149 -0.5054 5.748 5.748 25.39 -61.28 121.26 25.3903 /lustre/hpc/storage/dark/YSE/data/workspace/2023ixf_fake_tmpl/y/2023ixf.PS1.y.230531_2537326_2381.052_fake031_2381.052.y.18581117_3427481_1547.023.diff.forcedgrid.diffimstats
