# imagename mag_limit 
2023ixf.PS1.y.100119_2534631_2381.052.sw.fits 19.43525542432006 
2023ixf.PS1.y.100119_2534635_2381.052.sw.fits 19.890423379200417 
2023ixf.PS1.y.100529_2534640_2381.052.sw.fits 19.3869953656423 
2023ixf.PS1.y.110221_2534645_2381.052.sw.fits 18.68262290222888 
2023ixf.PS1.y.110221_2534646_2381.052.sw.fits 19.908353822412106 
2023ixf.PS1.y.110519_2534660_2381.052.sw.fits 19.349124460119 
2023ixf.PS1.y.110519_2534664_2381.052.sw.fits 19.54248548728696 
2023ixf.PS1.y.120215_2534665_2381.052.sw.fits 18.89346990584125 
2023ixf.PS1.y.120215_2534670_2381.052.sw.fits 19.108009734563165 
2023ixf.PS1.y.120508_2534683_2381.052.sw.fits 19.82601030552789 
2023ixf.PS1.y.120508_2534701_2381.052.sw.fits 19.627506731329923 
2023ixf.PS1.y.130524_2534712_2381.052.sw.fits 20.0751827004896 
2023ixf.PS1.y.140726_2534748_2381.052.sw.fits 19.738677731474592 
2023ixf.PS1.y.150318_2534761_2381.052.sw.fits 19.545605720026963 
2023ixf.PS1.y.160131_2534776_2381.052.sw.fits 19.59354082738805 
2023ixf.PS1.y.160201_2534779_2381.052.sw.fits 19.635924115375026 
2023ixf.PS1.y.180713_2534860_2381.052.sw.fits 20.059392880440413 
2023ixf.PS1.y.180725_2534866_2381.052.sw.fits 20.07854153371544 
2023ixf.PS1.y.180726_2534870_2381.052.sw.fits 20.188020036207053 
2023ixf.PS1.y.180727_2534878_2381.052.sw.fits 19.825162040275405 
2023ixf.PS1.y.180728_2534882_2381.052.sw.fits 19.107806219856837 
2023ixf.PS1.y.180729_2534881_2381.052.sw.fits 20.311703759856968 
2023ixf.PS1.y.180802_2534894_2381.052.sw.fits 20.05824039078272 
2023ixf.PS1.y.180807_2534909_2381.052.sw.fits 20.090556034260082 
2023ixf.PS1.y.180808_2534914_2381.052.sw.fits 20.227242845275015 
2023ixf.PS1.y.230521_2533542_2381.052.sw.fits 19.200025021658465 
2023ixf.PS1.y.230522_2533866_2381.052.sw.fits 18.438922586242633 
2023ixf.PS1.y.230524_2534432_2381.052.sw.fits 19.04349499719624 
2023ixf.PS1.y.230525_2535279_2381.052.sw.fits 18.80245227391095 
2023ixf.PS1.y.230526_2535496_2381.052.sw.fits 18.075579203947797 
2023ixf.PS1.y.230527_2536035_2381.052.sw.fits 18.359317836963665 
2023ixf.PS1.y.230528_2536571_2381.052.sw.fits 18.38402145565128 
2023ixf.PS1.y.230529_2537134_2381.052.sw.fits 18.39950004756266 
2023ixf.PS1.y.230531_2537326_2381.052.sw.fits 18.315275132856208 
