# imagename mag_limit 
2020tlf.g.200118_2199244_2199.069.sw.fits 20.25563725113121 
2020tlf.g.200120_2200641_2199.069.sw.fits 20.96094150619558 
2020tlf.g.200125_2203904_2199.069.sw.fits 20.689256557446228 
2020tlf.g.200129_2206653_2199.069.sw.fits 20.162312171414246 
2020tlf.g.200321_2211774_2199.069.sw.fits 20.341778539483954 
2020tlf.g.200417_2219040_2199.069.sw.fits 20.668845684292485 
2020tlf.g.200419_2220051_2199.069.sw.fits 21.21095450061351 
2020tlf.g.200421_2221154_2199.069.sw.fits 20.95901455218518 
2020tlf.g.200426_2223266_2199.069.sw.fits 20.285738351511224 
2020tlf.g.200430_2225322_2199.069.sw.fits 19.91500891620425 
2020tlf.g.200502_2226500_2199.069.sw.fits 20.79133501176747 
2020tlf.g.200513_2230861_2199.069.sw.fits 20.431020430695852 
2020tlf.g.200515_2231653_2199.069.sw.fits 20.51466466063577 
2020tlf.g.200518_2233420_2199.069.sw.fits 20.339791320645183 
2020tlf.g.200523_2235588_2199.069.sw.fits 21.387099286493207 
